Genome ID,species
879299.3,iners
879300.3,iners
879302.3,iners
879301.3,iners
879303.3,iners
879304.3,iners
879295.3,iners
879296.3,iners
928327.3,iners
928328.3,iners
440497.10,jensenii
575605.3,jensenii
596326.3,jensenii
596325.3,jensenii
575606.3,jensenii
1423762.3,jensenii
1434656.3,jensenii
1434652.3,jensenii
1434653.3,jensenii
1434654.3,jensenii
1434657.3,jensenii
1434655.3,jensenii
525329.3,jensenii
1381119.3,jensenii
575607.3,jensenii
109790.33,jensenii
109790.30,jensenii
1033983.3,johnsonii
525330.7,johnsonii
525330.3,johnsonii
909954.3,johnsonii
633699.4,johnsonii
1408186.3,johnsonii
257314.6,johnsonii
1037411.3,johnsonii
33959.336,johnsonii
33959.335,johnsonii
33959.334,johnsonii
33959.333,johnsonii
33959.331,johnsonii
33959.332,johnsonii
33959.145,johnsonii
33959.146,johnsonii
33959.305,johnsonii
33959.180,johnsonii
33959.354,johnsonii
33959.304,johnsonii
33959.344,johnsonii
33959.343,johnsonii
33959.345,johnsonii
33959.342,johnsonii
33959.341,johnsonii
33959.348,johnsonii
33959.337,johnsonii
33959.307,johnsonii
33959.306,johnsonii
33959.339,johnsonii
33959.338,johnsonii
33959.347,johnsonii
33959.340,johnsonii
33959.153,johnsonii
97478.10,mucosae
97478.11,mucosae
1423771.3,mucosae
1130798.5,mucosae
1130798.3,mucosae
97478.22,mucosae
97478.21,mucosae
97478.20,mucosae
1423784.5,parabuchneri
1423784.4,parabuchneri
152331.3,parabuchneri
152331.16,parabuchneri
152331.26,parabuchneri
152331.17,parabuchneri
152331.19,parabuchneri
152331.20,parabuchneri
152331.24,parabuchneri
152331.18,parabuchneri
152331.29,parabuchneri
152331.30,parabuchneri
152331.21,parabuchneri
152331.23,parabuchneri
152331.27,parabuchneri
152331.22,parabuchneri
152331.28,parabuchneri
152331.31,parabuchneri
152331.32,parabuchneri
152331.33,parabuchneri
152331.25,parabuchneri
152331.15,parabuchneri
152331.14,parabuchneri
152331.12,parabuchneri
1226299.3,paracasei
1446494.3,paracasei
1435038.3,paracasei
1435039.3,paracasei
1435040.3,paracasei
1597.17,paracasei
1597.18,paracasei
1597.27,paracasei
1597.26,paracasei
1597.135,paracasei
1597.134,paracasei
1597.19,paracasei
1597.112,paracasei
1597.114,paracasei
1597.113,paracasei
1597.115,paracasei
1597.16,paracasei
1597.136,paracasei
1597.111,paracasei
1597.28,paracasei
1597.20,paracasei
1597.46,paracasei
1597.53,paracasei
1597.137,paracasei
1597.107,paracasei
1597.108,paracasei
1597.106,paracasei
1597.127,paracasei
537973.8,paracasei
525337.3,paracasei
1256195.3,paracasei
1256202.3,paracasei
1256215.3,paracasei
1256211.3,paracasei
1423829.3,paracasei
1226298.3,paracasei
1256223.3,paracasei
1256218.3,paracasei
1256201.3,paracasei
1256216.3,paracasei
1256206.3,paracasei
1256204.3,paracasei
